frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
191,265,36.258,6.89,70.62,0.3,-0.0153,0,0,0,0,16,60,on_bump
192,266,36.366,7.13,107.7,0.3,-0.0066,0,0,0,0,16,61,on_bump
193,267,36.605,6.83,80.63,0.3,0.0021,0,0,0,0,16,60,on_bump
194,268,36.714,7.07,108.86,0.3,0.0108,0,0,0,0,16,61,on_bump
195,270,36.94,6.8,82.91,0.3,0.0195,0,0,0,0,16,69,on_bump
196,271,37.038,7.15,97.11,0.3,0.0282,0,0,0,0,16,66,on_bump
197,272,37.278,6.85,104.31,0.3,-0.033,0,0,0,0,16,65,on_bump
198,273,37.393,7.03,115.21,0.3,-0.0243,0,0,0,0,16,64,on_bump
199,275,37.636,6.74,80.39,0.3,-0.0156,0,0,0,0,16,68,on_bump
200,276,37.755,6.91,118.66,0.3,-0.0069,0,0,0,0,16,64,on_bump
201,277,37.961,6.7,79.21,0.3,0.0018,0,0,0,0,16,68,on_bump
202,278,38.059,7.05,98.35,0.3,0.0105,0,0,0,0,16,65,on_bump
203,279,38.259,6.85,56.7,0.3,0.0192,0,0,0,0,16,63,on_bump
204,280,38.363,7.12,104.02,0.3,0.0279,0,0,0,0,16,63,on_bump
205,282,38.591,6.84,75.35,0.3,-0.0332,0,0,0,0,16,60,on_bump
206,282,38.691,7.16,99.19,0.3,-0.0246,0.002,0,0,0.027,15.998,63,on_bump
207,284,38.918,6.89,89.15,0.3,-0.0159,0.017,0,0,0.136,15.983,61,on_bump
208,285,39.017,7.21,98.93,0.3,-0.0072,0.026,0,1.27,0.191,15.974,63,
209,287,39.217,6.99,52.45,0.3,0.0015,0.107,0,0,0.392,15.893,62,
210,287,39.296,7.55,79.14,0.3,-0.0596,0.128,0,0,0.414,15.872,64,
211,288,39.455,7.42,10.71,0.3,0,0.203,0.001,1.36,0.578,15.797,63,
212,288,39.458,40.52,2.83,0.3,0,0.203,0.001,1.36,0.578,15.797,63,
213,289,39.632,37.05,26.24,0.3,0,0.3,0.004,1.84,0.666,15.7,62,
214,289,39.637,52.55,4.92,0.3,0,0.3,0.004,1.84,0.666,15.7,62,
215,289,39.776,48.02,10.25,0.3,0,0.399,0.007,1.67,0.658,15.601,62,
216,289,39.779,71.86,3.25,0.3,0,0.399,0.007,1.67,0.658,15.601,62,
217,290,39.925,65.36,5.27,0.3,0,0.432,0.008,1.71,0.649,15.568,63,approaching
218,290,39.928,86.79,3.3,0.3,0,0.432,0.008,1.71,0.649,15.568,63,approaching
219,291,40.092,78.72,10.37,0.3,0,0.525,0.011,2.09,0.608,15.475,65,approaching
220,291,40.095,107.57,2.6,0.3,0,0.525,0.011,2.09,0.608,15.475,65,approaching
221,292,40.247,97.47,11.37,0.3,0,0.613,0.015,2.55,0.578,15.387,67,on_bump
222,292,40.252,105.66,5.18,0.3,0,0.613,0.015,2.55,0.578,15.387,67,on_bump
223,293,40.42,95.69,8.39,0.3,0,0.67,0.018,3.13,0.573,15.33,64,on_bump
