frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
256,355,42.791,6.64,95.88,0.3,-0.0088,0.031,0,0,0.205,15.969,60,
257,357,43.028,6.4,100.17,0.3,-0.0001,0.092,0,-1.56,0.36,15.908,63,
258,358,43.145,6.61,117.17,0.3,0.0086,0.132,-0.002,-1.89,0.406,15.868,60,
259,359,43.367,6.4,78.63,0.305,0.0173,0.198,-0.003,0,0.455,15.802,60,
260,360,43.495,6.54,127.92,0.632,0.0259,0.246,-0.003,0,0.482,15.754,60,
261,362,43.745,6.29,82.03,0.309,-0.0352,0.369,-0.003,0,0.459,15.631,61,
262,363,43.853,6.59,107.76,0.309,-0.0265,0.369,-0.003,0,0.459,15.631,61,
263,364,44.056,6.42,51.91,0.621,-0.0178,0.509,-0.01,-4.71,0.591,15.491,61,
264,365,44.14,6.96,84.13,0.606,-0.0091,0.537,-0.013,-5.96,0.576,15.463,61,
265,366,44.307,6.87,55.11,0.628,-0.0004,0.596,-0.02,-6.8,0.598,15.404,60,
266,366,44.374,7.69,66.04,0.605,0.0083,0.658,-0.026,-5.66,0.635,15.342,61,
267,366,44.557,7.46,29.99,0.582,0.017,0.797,-0.036,-3.01,0.732,15.203,61,
268,367,44.616,8.43,57.62,0.582,0.0257,0.797,-0.036,-3.01,0.732,15.203,61,
269,368,44.772,8.23,25.63,0.608,-0.0354,0.872,-0.039,-2.64,0.758,15.129,61,
270,368,44.837,8.95,64.51,0.625,-0.0268,0.91,-0.042,-4.08,0.775,15.09,61,
271,369,44.999,8.67,21.26,0.3,0,1.072,-0.058,-6.66,0.833,14.928,61,
272,369,45.002,41.3,2.58,0.3,0,1.072,-0.058,-6.66,0.833,14.928,61,
273,370,45.169,37.76,32.86,0.3,0,1.196,-0.073,-6.53,0.817,14.804,61,
274,370,45.173,61.85,3.4,0.3,0,1.196,-0.073,-6.53,0.817,14.804,61,
275,370,45.321,56.34,5.55,0.3,0,1.236,-0.077,-5.83,0.796,14.764,61,
276,370,45.324,85.84,2.73,0.3,0,1.236,-0.077,-5.83,0.796,14.764,61,
277,371,45.524,77.76,41.64,0.622,0.0087,1.384,-0.09,-4.18,0.712,14.617,60,
278,372,45.593,71.44,68.14,0.622,0.0174,1.384,-0.09,-4.18,0.712,14.617,60,
279,373,45.755,64.91,45.7,0.581,0.0261,1.484,-0.097,-4.35,0.671,14.516,60,
280,373,45.806,60.38,50.7,0.581,0.0348,1.484,-0.097,-4.35,0.671,14.516,60,
281,374,45.982,54.91,21.84,0.59,-0.0264,1.627,-0.112,-6.08,0.74,14.374,60,
282,374,46.003,54.3,20.36,0.59,-0.0177,1.627,-0.112,-6.08,0.74,14.374,60,
283,375,46.192,49.4,16.52,0.3,0,1.782,-0.126,-4.88,0.794,14.219,60,
284,375,46.198,63.3,4.97,0.3,0,1.782,-0.126,-4.88,0.794,14.219,60,
285,376,46.358,57.6,7.69,0.3,0,1.863,-0.133,-4.77,0.825,14.137,60,
286,376,46.36,94.62,2.19,0.3,0,1.863,-0.133,-4.77,0.825,14.137,60,
287,377,46.53,85.75,17.11,0.3,0,1.984,-0.144,-5.41,0.8,14.017,60,
288,377,46.536,93.23,5.98,0.3,0,1.984,-0.144,-5.41,0.8,14.017,60,
289,378,46.723,84.45,18.71,0.589,0.0087,2.096,-0.155,-5.11,0.739,13.905,60,
290,378,46.749,79.81,26.1,0.589,0.0174,2.096,-0.155,-5.11,0.739,13.905,60,
291,379,46.939,72.35,30.69,0.613,0.0261,2.203,-0.162,-3.54,0.703,13.798,60,
292,379,46.972,68.16,32.67,0.613,0.0348,2.203,-0.162,-3.54,0.703,13.798,60,
293,380,47.157,61.88,23.07,0.614,-0.0264,2.349,-0.171,-4.17,0.764,13.652,60,
294,381,47.215,57.42,57.7,0.614,-0.0177,2.349,-0.171,-4.17,0.764,13.652,60,
295,381,47.357,52.38,8.24,0.3,0,2.428,-0.178,-5.12,0.803,13.573,61,
296,382,47.391,50.07,33.96,0.3,0,2.469,-0.182,-5.19,0.826,13.532,60,
297,383,47.602,45.54,49.49,0.624,0.0087,2.587,-0.192,-4.81,0.714,13.414,60,
298,383,47.665,42.57,62.98,0.628,0.0174,2.623,-0.195,-4.83,0.718,13.379,62,
299,384,47.851,38.85,29.27,0.618,0.0261,2.728,-0.207,-8.63,0.708,13.274,60,
300,385,47.924,36.33,72.83,0.618,0.0348,2.728,-0.207,-8.63,0.708,13.274,60,
301,386,48.081,33.34,24.8,0.3,0,2.916,-0.234,-6.72,0.792,13.086,60,
302,386,48.084,67.73,2.51,0.3,0,2.916,-0.234,-6.72,0.792,13.086,60,
303,386,48.233,61.62,8.01,0.3,0,2.997,-0.242,-5.22,0.805,13.006,60,
304,386,48.236,85.85,3.11,0.3,0,2.997,-0.242,-5.22,0.805,13.006,60,
305,387,48.415,77.82,18.38,0.614,-0.0611,3.074,-0.25,-6.04,0.764,12.929,67,
306,388,48.48,71.59,64.47,0.614,-0.0524,3.074,-0.25,-6.04,0.764,12.929,67,
307,389,48.695,64.9,72.11,0.628,-0.0437,3.253,-0.278,-10.63,0.718,12.75,70,
308,389,48.746,60.34,51.44,0.635,-0.035,3.289,-0.285,-10.62,0.725,12.714,70,
309,390,48.912,54.91,17.51,0.625,-0.0962,3.364,-0.296,-8.49,0.775,12.639,64,
310,391,48.964,51.36,51.54,0.625,-0.0875,3.364,-0.296,-8.49,0.775,12.639,64,
311,391,49.108,46.91,12.89,0.3,0,3.526,-0.317,-6.72,0.829,12.478,70,
312,391,49.111,85.55,2.18,0.3,0,3.526,-0.317,-6.72,0.829,12.478,70,
313,392,49.275,77.6,8.28,0.3,0,3.608,-0.327,-7.62,0.83,12.396,70,
314,392,49.28,89.66,4.83,0.3,0,3.608,-0.327,-7.62,0.83,12.396,70,
315,393,49.503,81.14,21.12,0.595,-0.1309,3.762,-0.351,-8.52,0.745,12.243,70,
316,393,49.528,77,25.04,0.595,-0.1222,3.762,-0.351,-8.52,0.745,12.243,70,
317,394,49.708,69.86,21.52,0.584,-0.1135,3.907,-0.37,-6.96,0.734,12.098,70,
318,394,49.735,66.6,26.69,0.584,-0.1049,3.907,-0.37,-6.96,0.734,12.098,70,
319,395,49.895,60.56,20.05,0.593,-0.0962,3.98,-0.382,-9.93,0.743,12.026,70,
320,395,49.92,58.52,24.79,0.593,-0.0875,3.98,-0.382,-9.93,0.743,12.026,70,
321,396,50.12,53.17,23.52,0.625,-0.0788,4.129,-0.419,-15.9,0.775,11.879,70,
322,396,50.13,57.75,9.96,0.625,-0.0701,4.129,-0.419,-15.9,0.775,11.879,70,
323,397,50.303,52.55,28.32,0.629,-0.0614,4.204,-0.441,-16.03,0.779,11.804,70,
324,398,50.345,49.68,41.58,0.629,-0.0527,4.204,-0.441,-16.03,0.779,11.804,70,
325,398,50.499,45.37,14.63,0.3,0,4.357,-0.475,-11.31,0.806,11.652,60,
326,398,50.503,64.48,4,0.3,0,4.357,-0.475,-11.31,0.806,11.652,60,
327,400,50.693,58.55,40.18,0.638,0.0087,4.475,-0.499,-12.51,0.788,11.536,60,
328,400,50.732,55.29,38.45,0.638,0.0174,4.475,-0.499,-12.51,0.788,11.536,60,
329,401,50.883,50.42,25.25,0.625,0.0261,4.55,-0.517,-13.96,0.775,11.461,60,
330,401,50.931,47.49,46.95,0.625,0.0348,4.55,-0.517,-13.96,0.775,11.461,60,
331,402,51.132,43.24,53.17,0.612,-0.0264,4.736,-0.557,-10.2,0.702,11.278,60,
332,402,51.181,40.93,49.52,0.612,-0.0177,4.736,-0.557,-10.2,0.702,11.278,60,
333,403,51.363,37.39,21.58,0.59,-0.009,4.844,-0.575,-10.18,0.74,11.17,60,
